# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
hard_X_ray       0.40          45.64             0.19         -5.01        0.15
hard_X_ray       0.40          46.14             0.19         -5.84        0.12
hard_X_ray       0.40          46.65             0.19         -7.14        0.25
hard_X_ray       0.40          47.17             0.19         -7.55        0.33
hard_X_ray       0.40          43.56             0.00         -3.47        0.26
hard_X_ray       0.40          44.20             0.25         -3.47        0.21
hard_X_ray       0.40          44.85             0.25         -3.95        0.21
hard_X_ray       0.40          45.52             0.25         -4.80        0.31
hard_X_ray       0.40          43.44             0.00         -3.64        0.22
hard_X_ray       0.40          44.07             0.25         -3.71        0.13
hard_X_ray       0.40          44.72             0.25         -4.17        0.10
hard_X_ray       0.40          45.39             0.25         -4.83        0.10
hard_X_ray       0.40          46.06             0.25         -5.99        0.12
hard_X_ray       0.40          46.74             0.25         -6.64        0.13
soft_X_ray       0.40          44.10             0.00         -3.32        0.18
soft_X_ray       0.40          44.75             0.25         -3.97        0.15
soft_X_ray       0.40          45.08             0.12         -4.31        0.10
soft_X_ray       0.40          45.42             0.12         -4.93        0.11
soft_X_ray       0.40          45.75             0.12         -5.52        0.11
soft_X_ray       0.40          46.09             0.12         -6.30        0.14
soft_X_ray       0.40          46.43             0.12         -6.94        0.15
soft_X_ray       0.40          46.77             0.12         -7.58        0.16
soft_X_ray       0.40          47.45             0.25         -9.22        0.15
soft_X_ray       0.40          42.55             0.00         -2.43        0.64
soft_X_ray       0.40          43.21             0.27         -3.24        0.42
soft_X_ray       0.40          43.97             0.30         -3.38        0.12
soft_X_ray       0.40          44.61             0.25         -4.08        0.12
soft_X_ray       0.40          45.21             0.22         -4.83        0.09
soft_X_ray       0.40          45.81             0.22         -6.12        0.12
soft_X_ray       0.40          46.49             0.25         -7.42        0.11
soft_X_ray       0.40          47.37             0.33         -9.50        0.28
soft_X_ray       0.40          41.55             0.00         -2.31        0.22
soft_X_ray       0.40          42.71             0.50         -3.02        0.16
soft_X_ray       0.40          43.94             0.50         -3.25        0.06
soft_X_ray       0.40          45.25             0.50         -4.74        0.04
soft_X_ray       0.40          46.60             0.50         -6.99        0.05
soft_X_ray       0.40          47.97             0.50         -9.39        0.09
mid_IR           0.40          44.60             0.00         -3.07        0.15
mid_IR           0.40          45.07             0.25         -3.74        0.09
mid_IR           0.40          45.56             0.25         -4.85        0.13
mid_IR           0.40          46.04             0.25         -5.68        0.25
mid_IR           0.40          45.29             0.00         -4.15        0.22
mid_IR           0.40          44.91             0.20         -3.50        0.11
mid_IR           0.40          44.53             0.20         -2.97        0.08
UV               0.60          46.04             0.00         -5.09        0.39
UV               0.60          45.65             0.20         -4.99        0.39
UV               0.60          45.26             0.20         -4.39        0.20
UV               0.60          44.88             0.20         -4.10        0.28
UV               0.60          45.49             0.00         -4.49        0.04
UV               0.60          45.60             0.06         -4.65        0.03
UV               0.60          45.72             0.06         -4.82        0.02
UV               0.60          45.84             0.06         -5.03        0.02
UV               0.60          45.96             0.06         -5.24        0.03
UV               0.60          46.07             0.06         -5.52        0.03
UV               0.60          46.19             0.06         -5.72        0.04
UV               0.60          46.31             0.06         -6.00        0.05
UV               0.60          46.42             0.06         -6.31        0.06
UV               0.60          46.54             0.06         -6.47        0.07
UV               0.60          46.66             0.06         -6.86        0.11
UV               0.60          46.78             0.06         -7.31        0.17
UV               0.60          46.90             0.06         -7.64        0.25
UV               0.60          47.01             0.06         -7.97        0.39
UV               0.60          46.84             0.00         -7.24        0.24
UV               0.60          46.64             0.10         -7.01        0.18
UV               0.60          46.45             0.10         -6.22        0.07
UV               0.60          46.25             0.10         -5.89        0.06
UV               0.60          46.05             0.10         -5.46        0.04
UV               0.60          45.86             0.10         -5.14        0.04
UV               0.60          45.66             0.10         -4.81        0.04
UV               0.60          45.47             0.10         -4.65        0.06
UV               0.60          45.28             0.10         -4.25        0.05
UV               0.60          45.08             0.10         -4.10        0.05
UV               0.60          44.89             0.10         -4.05        0.05
UV               0.60          44.70             0.10         -3.94        0.06
UV               0.60          44.51             0.10         -3.70        0.09
UV               0.60          44.33             0.10         -3.38        0.21
B_band           0.60          46.22             0.00         -5.49        0.31
B_band           0.60          46.13             0.05         -5.35        0.21
B_band           0.60          46.03             0.05         -5.20        0.17
B_band           0.60          45.93             0.05         -5.09        0.15
B_band           0.60          45.83             0.05         -4.94        0.13
B_band           0.60          45.74             0.05         -4.59        0.10
B_band           0.60          45.64             0.05         -4.57        0.10
B_band           0.60          45.54             0.05         -4.66        0.11
B_band           0.60          45.45             0.05         -4.35        0.09
B_band           0.60          45.35             0.05         -4.15        0.08
B_band           0.60          45.25             0.05         -4.19        0.09
B_band           0.60          45.16             0.05         -4.05        0.08
B_band           0.60          45.06             0.05         -4.10        0.08
B_band           0.60          44.96             0.05         -4.09        0.08
B_band           0.60          46.70             0.00         -6.77        0.14
B_band           0.60          46.58             0.06         -6.45        0.10
B_band           0.60          46.47             0.06         -6.21        0.08
B_band           0.60          46.35             0.06         -5.98        0.07
B_band           0.60          46.23             0.06         -5.69        0.05
B_band           0.60          46.11             0.06         -5.43        0.04
B_band           0.60          46.00             0.06         -5.23        0.04
B_band           0.60          45.88             0.06         -5.00        0.04
B_band           0.60          45.76             0.06         -4.82        0.03
B_band           0.60          45.64             0.06         -4.68        0.04
B_band           0.60          45.53             0.06         -4.49        0.04
B_band           0.60          45.41             0.06         -5.00        0.18
hard_X_ray       0.60          43.19             0.00         -3.02        0.12
hard_X_ray       0.60          43.44             0.10         -2.95        0.12
hard_X_ray       0.60          43.61             0.07         -3.06        0.09
hard_X_ray       0.60          43.79             0.07         -3.27        0.10
hard_X_ray       0.60          43.95             0.06         -3.22        0.07
hard_X_ray       0.60          44.11             0.06         -3.29        0.06
hard_X_ray       0.60          44.29             0.07         -3.41        0.06
hard_X_ray       0.60          44.45             0.06         -3.60        0.07
hard_X_ray       0.60          44.61             0.06         -3.72        0.07
hard_X_ray       0.60          44.78             0.06         -3.78        0.07
hard_X_ray       0.60          44.94             0.06         -3.97        0.07
hard_X_ray       0.60          45.11             0.06         -4.18        0.08
hard_X_ray       0.60          45.27             0.06         -4.34        0.08
hard_X_ray       0.60          45.46             0.07         -4.50        0.08
hard_X_ray       0.60          45.81             0.13         -5.17        0.08
hard_X_ray       0.60          46.17             0.13         -5.72        0.13
hard_X_ray       0.60          46.36             0.07         -6.01        0.15
hard_X_ray       0.60          46.60             0.09         -7.04        0.18
hard_X_ray       0.60          47.01             0.15         -7.50        0.29
hard_X_ray       0.60          41.25             0.00         -1.84        0.37
hard_X_ray       0.60          41.53             0.12         -1.84        0.17
hard_X_ray       0.60          41.81             0.12         -2.11        0.12
hard_X_ray       0.60          42.09             0.12         -2.26        0.10
hard_X_ray       0.60          42.38             0.12         -2.49        0.09
hard_X_ray       0.60          42.68             0.12         -2.82        0.09
hard_X_ray       0.60          42.98             0.12         -2.99        0.09
hard_X_ray       0.60          43.29             0.12         -3.16        0.09
hard_X_ray       0.60          43.60             0.12         -3.43        0.11
hard_X_ray       0.60          43.91             0.12         -3.49        0.12
hard_X_ray       0.60          44.24             0.12         -3.60        0.11
hard_X_ray       0.60          44.56             0.12         -3.74        0.09
hard_X_ray       0.60          44.89             0.12         -3.95        0.09
hard_X_ray       0.60          45.22             0.12         -4.29        0.12
hard_X_ray       0.60          45.55             0.12         -4.76        0.18
hard_X_ray       0.60          45.89             0.12         -5.65        0.44
hard_X_ray       0.60          46.23             0.12         -6.00        0.63
hard_X_ray       0.60          46.57             0.12         -6.54        2.85
hard_X_ray       0.60          46.91             0.12         -6.66        0.90
hard_X_ray       0.60          47.25             0.12         -7.44        0.35
hard_X_ray       0.60          47.59             0.12         -8.06        0.37
hard_X_ray       0.60          42.97             0.00         -2.89        0.51
hard_X_ray       0.60          43.78             0.33         -3.22        0.53
hard_X_ray       0.60          44.42             0.25         -3.60        0.55
hard_X_ray       0.60          45.11             0.26         -4.10        0.58
hard_X_ray       0.60          45.85             0.27         -5.06        0.47
hard_X_ray       0.60          46.32             0.18         -6.09        0.43
hard_X_ray       0.60          46.77             0.16         -6.77        0.44
hard_X_ray       0.60          43.78             1.12         -3.15        0.54
