# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
B_band           2.60          45.05             0.00         -4.26        0.41
B_band           2.60          45.44             0.20         -4.02        0.26
B_band           2.60          45.82             0.20         -5.02        0.71
B_band           2.60          46.22             0.20         -4.47        0.21
B_band           2.60          46.61             0.20         -5.05        0.51
B_band           2.60          47.00             0.20         -4.91        0.31
B_band           2.60          45.35             0.00         -3.94        0.11
B_band           2.60          45.74             0.20         -4.31        0.11
B_band           2.60          46.13             0.20         -4.72        0.16
B_band           2.60          46.52             0.20         -5.18        0.26
B_band           2.60          46.92             0.20         -5.30        0.31
hard_X_ray       2.60          44.35             0.00         -3.89        0.15
hard_X_ray       2.60          44.92             0.22         -3.89        0.09
hard_X_ray       2.60          45.26             0.13         -3.86        0.10
hard_X_ray       2.60          45.43             0.06         -4.15        0.10
hard_X_ray       2.60          45.59             0.06         -4.18        0.07
hard_X_ray       2.60          45.76             0.06         -4.35        0.06
hard_X_ray       2.60          45.93             0.06         -4.36        0.05
hard_X_ray       2.60          46.10             0.06         -4.57        0.06
hard_X_ray       2.60          46.27             0.06         -4.68        0.05
hard_X_ray       2.60          46.44             0.06         -4.84        0.06
hard_X_ray       2.60          46.62             0.07         -5.16        0.06
hard_X_ray       2.60          46.81             0.07         -5.47        0.08
hard_X_ray       2.60          47.22             0.15         -6.48        0.08
hard_X_ray       2.60          47.70             0.18         -7.94        0.16
hard_X_ray       2.60          43.60             0.00         -3.71        0.36
hard_X_ray       2.60          43.91             0.12         -4.08        0.30
hard_X_ray       2.60          44.24             0.12         -4.07        0.19
hard_X_ray       2.60          44.56             0.12         -4.17        0.14
hard_X_ray       2.60          44.89             0.12         -4.18        0.10
hard_X_ray       2.60          45.22             0.12         -4.21        0.08
hard_X_ray       2.60          45.55             0.12         -4.21        0.07
hard_X_ray       2.60          45.89             0.12         -4.45        0.07
hard_X_ray       2.60          46.23             0.12         -4.62        0.09
hard_X_ray       2.60          46.57             0.12         -4.82        0.09
hard_X_ray       2.60          46.91             0.12         -5.67        0.14
hard_X_ray       2.60          47.25             0.12         -6.39        0.20
hard_X_ray       2.60          47.59             0.12         -7.22        0.42
hard_X_ray       2.60          47.94             0.12         -7.96        1.02
hard_X_ray       2.60          44.07             0.00         -3.70        0.64
hard_X_ray       2.60          44.72             0.25         -3.75        0.22
hard_X_ray       2.60          45.38             0.25         -4.43        0.20
hard_X_ray       2.60          46.05             0.25         -4.70        0.21
hard_X_ray       2.60          46.73             0.25         -5.26        0.17
hard_X_ray       2.60          47.76             0.37         -7.74        0.31
hard_X_ray       2.60          49.14             0.50         -10.11        0.64
hard_X_ray       2.60          50.52             0.50         -11.54        0.64
hard_X_ray       2.60          44.31             0.00         -3.87        0.37
hard_X_ray       2.60          44.80             0.19         -4.09        0.46
hard_X_ray       2.60          45.47             0.25         -4.21        0.53
hard_X_ray       2.60          46.14             0.25         -4.58        0.56
hard_X_ray       2.60          46.99             0.31         -5.74        0.58
hard_X_ray       2.60          48.02             0.38         -7.78        0.37
hard_X_ray       2.60          43.80             1.58         -3.74        0.42
hard_X_ray       2.60          44.31             0.20         -4.31        0.37
hard_X_ray       2.60          44.80             0.19         -4.16        0.48
hard_X_ray       2.60          45.47             0.25         -4.28        0.56
hard_X_ray       2.60          46.14             0.25         -4.72        0.59
hard_X_ray       2.60          46.99             0.31         -5.85        0.54
hard_X_ray       2.60          48.02             0.38         -8.01        0.39
hard_X_ray       2.60          46.06             0.00         -4.73        0.21
hard_X_ray       2.60          47.08             0.38         -6.06        0.26
hard_X_ray       2.60          46.08             0.00         -4.42        0.36
hard_X_ray       2.60          46.42             0.12         -4.90        0.25
hard_X_ray       2.60          46.76             0.12         -5.48        0.20
hard_X_ray       2.60          47.10             0.12         -6.14        0.19
hard_X_ray       2.60          47.44             0.12         -7.04        0.29
hard_X_ray       2.60          47.79             0.12         -7.55        0.36
hard_X_ray       2.60          44.24             0.00         -3.89        0.52
hard_X_ray       2.60          44.56             0.12         -4.04        0.25
hard_X_ray       2.60          44.89             0.12         -4.19        0.18
hard_X_ray       2.60          45.22             0.12         -4.20        0.11
hard_X_ray       2.60          45.55             0.12         -4.24        0.09
hard_X_ray       2.60          45.89             0.12         -4.43        0.07
hard_X_ray       2.60          46.23             0.12         -4.59        0.07
hard_X_ray       2.60          46.57             0.12         -4.92        0.09
hard_X_ray       2.60          46.91             0.12         -5.63        0.14
hard_X_ray       2.60          47.25             0.12         -6.47        0.27
hard_X_ray       2.60          47.59             0.12         -7.29        0.43
hard_X_ray       2.60          47.94             0.12         -7.87        0.65
hard_X_ray       2.60          45.92             0.00         -5.00        0.51
hard_X_ray       2.60          46.94             0.38         -5.69        0.31
hard_X_ray       2.60          48.04             0.40         -7.83        0.41
hard_X_ray       2.60          49.01             0.35         -9.82        0.81
hard_X_ray       2.60          44.16             0.00         -3.41        0.26
hard_X_ray       2.60          44.64             0.19         -3.85        0.17
hard_X_ray       2.60          45.14             0.19         -4.30        0.11
hard_X_ray       2.60          45.64             0.19         -4.45        0.10
hard_X_ray       2.60          46.14             0.19         -4.87        0.14
hard_X_ray       2.60          46.65             0.19         -5.13        0.13
hard_X_ray       2.60          47.17             0.19         -6.42        0.31
hard_X_ray       2.60          43.56             0.00         -4.10        0.81
hard_X_ray       2.60          44.20             0.25         -4.17        0.71
hard_X_ray       2.60          44.85             0.25         -4.43        0.81
hard_X_ray       2.60          45.52             0.25         -4.57        0.26
hard_X_ray       2.60          46.19             0.25         -4.72        0.21
hard_X_ray       2.60          46.87             0.25         -5.36        0.36
hard_X_ray       2.60          47.56             0.25         -6.49        0.46
hard_X_ray       2.60          44.55             0.00         -3.88        0.25
hard_X_ray       2.60          45.40             0.32         -4.07        0.10
hard_X_ray       2.60          46.26             0.32         -4.77        0.16
hard_X_ray       2.60          47.14             0.32         -6.43        0.30
hard_X_ray       2.60          48.01             0.32         -7.91        0.39
soft_X_ray       2.60          43.78             0.00         -3.19        0.17
soft_X_ray       2.60          44.59             0.31         -3.59        0.15
soft_X_ray       2.60          45.42             0.31         -4.02        0.10
soft_X_ray       2.60          46.26             0.31         -4.62        0.10
soft_X_ray       2.60          46.94             0.25         -5.98        0.13
soft_X_ray       2.60          47.45             0.19         -7.04        0.15
soft_X_ray       2.60          48.14             0.25         -8.91        0.18
soft_X_ray       2.60          50.73             0.94         -12.45        0.32
soft_X_ray       2.60          45.06             0.00         -4.03        0.23
soft_X_ray       2.60          46.41             0.50         -4.76        0.26
soft_X_ray       2.60          45.74             0.00         -4.01        0.20
soft_X_ray       2.60          46.62             0.33         -5.34        0.18
soft_X_ray       2.60          47.58             0.35         -7.34        0.20
soft_X_ray       2.60          48.68             0.40         -9.58        0.61
soft_X_ray       2.60          49.67             0.36         -10.43        0.42
soft_X_ray       2.60          44.18             0.00         -3.38        0.08
soft_X_ray       2.60          46.00             0.69         -4.88        0.11
soft_X_ray       2.60          47.88             0.69         -8.59        0.15
soft_X_ray       2.60          49.78             0.69         -10.16        0.30
mid_IR           2.60          47.52             0.00         -6.52        0.24
mid_IR           2.60          47.25             0.00         -6.29        0.30
mid_IR           2.60          46.86             0.20         -5.63        0.14
mid_IR           2.60          46.46             0.20         -5.35        0.15
mid_IR           2.60          46.07             0.20         -4.58        0.17
mid_IR           2.60          45.68             0.20         -5.03        0.12
UV               2.80          47.49             0.00         -6.99        0.24
UV               2.80          47.39             0.05         -6.64        0.16
UV               2.80          47.26             0.07         -6.36        0.12
UV               2.80          47.14             0.06         -5.97        0.09
UV               2.80          47.03             0.05         -5.76        0.08
UV               2.80          46.91             0.06         -5.65        0.07
UV               2.80          46.80             0.06         -5.45        0.06
UV               2.80          46.69             0.06         -5.15        0.05
UV               2.80          46.56             0.06         -5.21        0.06
UV               2.80          46.44             0.06         -5.14        0.05
UV               2.80          46.33             0.06         -5.00        0.05
UV               2.80          46.21             0.06         -4.92        0.05
UV               2.80          46.10             0.06         -4.89        0.05
UV               2.80          45.98             0.06         -4.90        0.06
UV               2.80          46.81             0.00         -5.41        0.39
UV               2.80          46.42             0.20         -4.99        0.25
UV               2.80          46.02             0.20         -4.77        0.25
UV               2.80          46.90             0.00         -5.73        0.07
UV               2.80          47.01             0.06         -5.85        0.03
UV               2.80          47.13             0.06         -6.16        0.03
UV               2.80          47.25             0.06         -6.44        0.04
UV               2.80          47.37             0.06         -6.74        0.05
UV               2.80          47.49             0.06         -7.02        0.06
UV               2.80          47.61             0.06         -7.31        0.07
UV               2.80          47.73             0.06         -7.75        0.11
UV               2.80          47.49             0.00         -6.70        0.18
UV               2.80          47.33             0.08         -6.34        0.13
UV               2.80          47.17             0.08         -6.19        0.12
UV               2.80          47.01             0.08         -5.95        0.10
UV               2.80          46.86             0.08         -5.68        0.09
UV               2.80          46.70             0.08         -5.38        0.08
UV               2.80          46.54             0.08         -5.18        0.07
UV               2.80          46.38             0.08         -5.03        0.07
UV               2.80          46.23             0.08         -4.87        0.07
UV               2.80          46.07             0.08         -4.79        0.07
UV               2.80          45.91             0.08         -4.69        0.07
UV               2.80          46.77             0.00         -5.15        0.65
UV               2.80          46.38             0.20         -4.90        0.42
UV               2.80          45.98             0.20         -4.60        0.33
UV               2.80          45.60             0.20         -4.19        0.28
UV               2.80          45.21             0.20         -3.92        0.33
UV               2.80          47.65             0.00         -6.88        0.42
UV               2.80          47.42             0.11         -7.12        0.65
UV               2.80          47.27             0.08         -6.48        0.28
UV               2.80          47.14             0.07         -6.04        0.17
UV               2.80          47.05             0.05         -6.06        0.18
UV               2.80          46.92             0.07         -5.64        0.11
UV               2.80          46.80             0.06         -5.58        0.11
UV               2.80          46.68             0.06         -5.41        0.09
UV               2.80          46.56             0.06         -5.33        0.09
UV               2.80          46.44             0.06         -5.13        0.07
UV               2.80          46.33             0.06         -5.02        0.07
B_band           2.80          48.00             0.00         -8.09        0.29
B_band           2.80          47.89             0.06         -7.82        0.18
B_band           2.80          47.77             0.06         -7.53        0.35
B_band           2.80          47.65             0.06         -7.37        0.15
B_band           2.80          47.53             0.06         -7.03        0.24
B_band           2.80          47.41             0.06         -6.68        0.16
B_band           2.80          47.29             0.06         -6.42        0.13
B_band           2.80          47.17             0.06         -6.34        0.13
B_band           2.80          45.05             0.00         -4.27        0.41
B_band           2.80          45.44             0.20         -4.02        0.26
B_band           2.80          45.82             0.20         -5.03        0.71
B_band           2.80          46.22             0.20         -4.48        0.21
B_band           2.80          46.61             0.20         -5.07        0.51
B_band           2.80          47.00             0.20         -4.94        0.31
B_band           2.80          45.35             0.00         -3.94        0.11
B_band           2.80          45.74             0.20         -4.31        0.11
B_band           2.80          46.13             0.20         -4.72        0.16
B_band           2.80          46.52             0.20         -5.20        0.26
B_band           2.80          46.92             0.20         -5.32        0.31
B_band           2.80          46.87             0.00         -5.55        0.14
B_band           2.80          47.06             0.10         -6.01        0.11
B_band           2.80          47.26             0.10         -6.23        0.10
B_band           2.80          47.54             0.14         -7.06        0.18
hard_X_ray       2.80          44.35             0.00         -3.94        0.15
hard_X_ray       2.80          44.92             0.22         -3.95        0.09
hard_X_ray       2.80          45.26             0.13         -3.91        0.10
hard_X_ray       2.80          45.43             0.06         -4.20        0.10
hard_X_ray       2.80          45.59             0.06         -4.23        0.07
hard_X_ray       2.80          45.76             0.06         -4.41        0.06
hard_X_ray       2.80          45.93             0.06         -4.43        0.05
hard_X_ray       2.80          46.10             0.06         -4.64        0.06
hard_X_ray       2.80          46.27             0.06         -4.77        0.05
hard_X_ray       2.80          46.44             0.06         -4.93        0.06
hard_X_ray       2.80          46.62             0.07         -5.25        0.06
hard_X_ray       2.80          46.81             0.07         -5.54        0.08
hard_X_ray       2.80          47.22             0.15         -6.49        0.08
hard_X_ray       2.80          47.70             0.18         -7.90        0.16
hard_X_ray       2.80          43.60             0.00         -3.77        0.36
hard_X_ray       2.80          43.91             0.12         -4.14        0.30
hard_X_ray       2.80          44.24             0.12         -4.13        0.19
hard_X_ray       2.80          44.56             0.12         -4.22        0.14
hard_X_ray       2.80          44.89             0.12         -4.23        0.10
hard_X_ray       2.80          45.22             0.12         -4.27        0.08
hard_X_ray       2.80          45.55             0.12         -4.27        0.07
hard_X_ray       2.80          45.89             0.12         -4.52        0.07
hard_X_ray       2.80          46.23             0.12         -4.70        0.09
hard_X_ray       2.80          46.57             0.12         -4.91        0.09
hard_X_ray       2.80          46.91             0.12         -5.73        0.14
hard_X_ray       2.80          47.25             0.12         -6.40        0.20
hard_X_ray       2.80          47.59             0.12         -7.19        0.42
hard_X_ray       2.80          47.94             0.12         -7.92        1.02
hard_X_ray       2.80          44.07             0.00         -3.74        0.64
hard_X_ray       2.80          44.72             0.25         -3.79        0.22
hard_X_ray       2.80          45.38             0.25         -4.48        0.20
hard_X_ray       2.80          46.05             0.25         -4.76        0.21
hard_X_ray       2.80          46.73             0.25         -5.33        0.17
hard_X_ray       2.80          47.76             0.37         -7.69        0.31
hard_X_ray       2.80          49.14             0.50         -10.04        0.64
hard_X_ray       2.80          50.52             0.50         -11.47        0.64
hard_X_ray       2.80          44.31             0.00         -3.92        0.37
hard_X_ray       2.80          44.80             0.19         -4.15        0.46
hard_X_ray       2.80          45.47             0.25         -4.27        0.53
hard_X_ray       2.80          46.14             0.25         -4.66        0.56
hard_X_ray       2.80          46.99             0.31         -5.79        0.58
hard_X_ray       2.80          48.02             0.38         -7.74        0.37
hard_X_ray       2.80          43.80             1.58         -3.79        0.42
hard_X_ray       2.80          44.31             0.20         -4.37        0.37
hard_X_ray       2.80          44.80             0.19         -4.22        0.48
hard_X_ray       2.80          45.47             0.25         -4.34        0.56
hard_X_ray       2.80          46.14             0.25         -4.80        0.59
hard_X_ray       2.80          46.99             0.31         -5.91        0.54
hard_X_ray       2.80          48.02             0.38         -7.96        0.39
hard_X_ray       2.80          46.06             0.00         -4.76        0.21
hard_X_ray       2.80          47.08             0.38         -6.05        0.26
hard_X_ray       2.80          46.08             0.00         -4.48        0.36
hard_X_ray       2.80          46.42             0.12         -4.98        0.25
hard_X_ray       2.80          46.76             0.12         -5.55        0.20
hard_X_ray       2.80          47.10             0.12         -6.16        0.19
hard_X_ray       2.80          47.44             0.12         -7.02        0.29
hard_X_ray       2.80          47.79             0.12         -7.49        0.36
hard_X_ray       2.80          44.24             0.00         -3.94        0.52
hard_X_ray       2.80          44.56             0.12         -4.09        0.25
hard_X_ray       2.80          44.89             0.12         -4.24        0.18
hard_X_ray       2.80          45.22             0.12         -4.26        0.11
hard_X_ray       2.80          45.55             0.12         -4.30        0.09
hard_X_ray       2.80          45.89             0.12         -4.49        0.07
hard_X_ray       2.80          46.23             0.12         -4.67        0.07
hard_X_ray       2.80          46.57             0.12         -5.01        0.09
hard_X_ray       2.80          46.91             0.12         -5.68        0.14
hard_X_ray       2.80          47.25             0.12         -6.48        0.27
hard_X_ray       2.80          47.59             0.12         -7.26        0.43
hard_X_ray       2.80          47.94             0.12         -7.82        0.65
hard_X_ray       2.80          45.92             0.00         -5.04        0.51
hard_X_ray       2.80          46.94             0.38         -5.72        0.31
hard_X_ray       2.80          48.04             0.40         -7.74        0.41
hard_X_ray       2.80          49.01             0.35         -9.73        0.81
hard_X_ray       2.80          44.16             0.00         -3.47        0.26
hard_X_ray       2.80          44.64             0.19         -3.91        0.17
hard_X_ray       2.80          45.14             0.19         -4.36        0.11
hard_X_ray       2.80          45.64             0.19         -4.51        0.10
hard_X_ray       2.80          46.14             0.19         -4.95        0.14
hard_X_ray       2.80          46.65             0.19         -5.22        0.13
hard_X_ray       2.80          47.17             0.19         -6.45        0.31
hard_X_ray       2.80          43.56             0.00         -4.13        0.81
hard_X_ray       2.80          44.20             0.25         -4.19        0.71
hard_X_ray       2.80          44.85             0.25         -4.45        0.81
hard_X_ray       2.80          45.52             0.25         -4.60        0.26
hard_X_ray       2.80          46.19             0.25         -4.77        0.21
hard_X_ray       2.80          46.87             0.25         -5.39        0.36
hard_X_ray       2.80          47.56             0.25         -6.44        0.46
hard_X_ray       2.80          44.55             0.00         -3.93        0.25
hard_X_ray       2.80          45.40             0.32         -4.12        0.10
hard_X_ray       2.80          46.26             0.32         -4.85        0.16
hard_X_ray       2.80          47.14             0.32         -6.46        0.30
hard_X_ray       2.80          48.01             0.32         -7.85        0.39
soft_X_ray       2.80          43.78             0.00         -3.19        0.17
soft_X_ray       2.80          44.59             0.31         -3.59        0.15
soft_X_ray       2.80          45.42             0.31         -4.03        0.10
soft_X_ray       2.80          46.26             0.31         -4.66        0.10
soft_X_ray       2.80          46.94             0.25         -6.00        0.13
soft_X_ray       2.80          47.45             0.19         -6.99        0.15
soft_X_ray       2.80          48.14             0.25         -8.82        0.18
soft_X_ray       2.80          50.73             0.94         -12.35        0.32
soft_X_ray       2.80          45.06             0.00         -4.05        0.23
soft_X_ray       2.80          46.41             0.50         -4.82        0.26
soft_X_ray       2.80          45.74             0.00         -4.00        0.20
soft_X_ray       2.80          46.62             0.33         -5.36        0.18
soft_X_ray       2.80          47.58             0.35         -7.25        0.20
soft_X_ray       2.80          48.68             0.40         -9.46        0.61
soft_X_ray       2.80          49.67             0.36         -10.31        0.42
soft_X_ray       2.80          44.18             0.00         -3.38        0.08
soft_X_ray       2.80          46.00             0.69         -4.90        0.11
soft_X_ray       2.80          47.88             0.69         -8.51        0.15
soft_X_ray       2.80          49.78             0.69         -10.07        0.30
mid_IR           2.80          47.52             0.00         -6.48        0.24
mid_IR           2.80          47.25             0.00         -6.35        0.30
mid_IR           2.80          46.86             0.20         -5.69        0.14
mid_IR           2.80          46.46             0.20         -5.41        0.15
mid_IR           2.80          46.07             0.20         -4.64        0.17
mid_IR           2.80          45.68             0.20         -5.08        0.12
UV               3.00          47.07             0.00         -5.84        0.22
UV               3.00          46.88             0.10         -5.93        0.23
UV               3.00          46.68             0.10         -5.48        0.16
UV               3.00          46.48             0.10         -5.18        0.12
UV               3.00          46.29             0.10         -4.99        0.11
UV               3.00          46.09             0.10         -4.78        0.10
UV               3.00          47.58             0.00         -7.56        0.65
UV               3.00          47.50             0.04         -7.24        0.24
UV               3.00          47.39             0.05         -6.66        0.11
UV               3.00          47.27             0.06         -6.46        0.09
UV               3.00          47.15             0.06         -6.07        0.06
UV               3.00          47.04             0.05         -5.90        0.05
UV               3.00          46.92             0.06         -5.78        0.05
UV               3.00          46.80             0.06         -5.58        0.04
UV               3.00          46.69             0.06         -5.41        0.04
UV               3.00          46.57             0.06         -5.31        0.04
UV               3.00          46.45             0.06         -5.23        0.04
UV               3.00          46.33             0.06         -5.09        0.04
UV               3.00          46.22             0.06         -5.02        0.04
UV               3.00          46.11             0.06         -4.93        0.04
UV               3.00          46.81             0.00         -5.51        0.39
UV               3.00          46.42             0.20         -5.08        0.25
UV               3.00          46.02             0.20         -4.86        0.25
UV               3.00          46.66             0.00         -5.54        0.04
UV               3.00          46.78             0.06         -5.69        0.02
UV               3.00          46.90             0.06         -5.93        0.02
UV               3.00          47.01             0.06         -6.12        0.03
UV               3.00          47.13             0.06         -6.30        0.03
UV               3.00          47.25             0.06         -6.52        0.03
UV               3.00          47.37             0.06         -6.76        0.04
UV               3.00          47.49             0.06         -7.02        0.05
UV               3.00          47.61             0.06         -7.33        0.06
UV               3.00          47.73             0.06         -7.57        0.07
UV               3.00          47.49             0.00         -6.80        0.18
UV               3.00          47.33             0.08         -6.44        0.13
UV               3.00          47.17             0.08         -6.28        0.12
UV               3.00          47.01             0.08         -6.05        0.10
UV               3.00          46.86             0.08         -5.77        0.09
UV               3.00          46.70             0.08         -5.47        0.08
UV               3.00          46.54             0.08         -5.27        0.07
UV               3.00          46.38             0.08         -5.11        0.07
UV               3.00          46.23             0.08         -4.95        0.07
UV               3.00          46.07             0.08         -4.86        0.07
UV               3.00          45.91             0.08         -4.76        0.07
UV               3.00          46.77             0.00         -5.24        0.65
UV               3.00          46.38             0.20         -4.97        0.42
UV               3.00          45.98             0.20         -4.67        0.33
UV               3.00          45.60             0.20         -4.26        0.28
UV               3.00          45.21             0.20         -4.01        0.33
UV               3.00          47.91             0.00         -7.64        0.65
UV               3.00          47.64             0.13         -7.28        0.42
UV               3.00          47.51             0.06         -7.25        0.42
UV               3.00          47.41             0.05         -7.22        0.42
UV               3.00          47.29             0.06         -6.53        0.18
UV               3.00          47.17             0.06         -6.41        0.16
UV               3.00          47.05             0.06         -6.02        0.11
UV               3.00          46.92             0.06         -5.87        0.09
UV               3.00          46.80             0.06         -5.74        0.08
UV               3.00          46.69             0.06         -5.57        0.07
UV               3.00          46.56             0.06         -5.53        0.07
UV               3.00          46.45             0.06         -5.29        0.06
UV               3.00          46.33             0.06         -5.24        0.06
B_band           3.00          48.00             0.00         -8.13        0.29
B_band           3.00          47.89             0.06         -7.87        0.18
B_band           3.00          47.77             0.06         -7.57        0.35
B_band           3.00          47.65             0.06         -7.41        0.15
B_band           3.00          47.53             0.06         -7.07        0.24
B_band           3.00          47.41             0.06         -6.72        0.16
B_band           3.00          47.29             0.06         -6.46        0.13
B_band           3.00          47.17             0.06         -6.38        0.13
B_band           3.00          45.05             0.00         -4.31        0.41
B_band           3.00          45.44             0.20         -4.05        0.26
B_band           3.00          45.82             0.20         -5.04        0.71
B_band           3.00          46.22             0.20         -4.50        0.21
B_band           3.00          46.61             0.20         -5.10        0.51
B_band           3.00          47.00             0.20         -4.97        0.31
B_band           3.00          46.30             0.00         -4.69        0.11
B_band           3.00          46.50             0.10         -4.84        0.14
B_band           3.00          46.70             0.10         -5.07        0.17
B_band           3.00          46.89             0.10         -5.40        0.19
B_band           3.00          47.09             0.10         -5.87        0.28
B_band           3.00          47.29             0.10         -5.76        0.24
B_band           3.00          45.35             0.00         -3.97        0.11
B_band           3.00          45.74             0.20         -4.33        0.11
B_band           3.00          46.13             0.20         -4.73        0.16
B_band           3.00          46.52             0.20         -5.22        0.26
B_band           3.00          46.92             0.20         -5.35        0.31
B_band           3.00          46.87             0.00         -5.61        0.14
B_band           3.00          47.06             0.10         -6.08        0.11
B_band           3.00          47.26             0.10         -6.30        0.10
B_band           3.00          47.54             0.14         -7.13        0.18
hard_X_ray       3.00          44.35             0.00         -4.08        0.15
hard_X_ray       3.00          44.92             0.22         -4.08        0.09
hard_X_ray       3.00          45.26             0.13         -4.03        0.10
hard_X_ray       3.00          45.43             0.06         -4.32        0.10
hard_X_ray       3.00          45.59             0.06         -4.35        0.07
hard_X_ray       3.00          45.76             0.06         -4.52        0.06
hard_X_ray       3.00          45.93             0.06         -4.55        0.05
hard_X_ray       3.00          46.10             0.06         -4.77        0.06
hard_X_ray       3.00          46.27             0.06         -4.90        0.05
hard_X_ray       3.00          46.44             0.06         -5.07        0.06
hard_X_ray       3.00          46.62             0.07         -5.40        0.06
hard_X_ray       3.00          46.81             0.07         -5.69        0.08
hard_X_ray       3.00          47.22             0.15         -6.60        0.08
hard_X_ray       3.00          47.70             0.18         -7.97        0.16
hard_X_ray       3.00          43.60             0.00         -3.91        0.36
hard_X_ray       3.00          43.91             0.12         -4.29        0.30
hard_X_ray       3.00          44.24             0.12         -4.28        0.19
hard_X_ray       3.00          44.56             0.12         -4.36        0.14
hard_X_ray       3.00          44.89             0.12         -4.37        0.10
hard_X_ray       3.00          45.22             0.12         -4.39        0.08
hard_X_ray       3.00          45.55             0.12         -4.38        0.07
hard_X_ray       3.00          45.89             0.12         -4.63        0.07
hard_X_ray       3.00          46.23             0.12         -4.83        0.09
hard_X_ray       3.00          46.57             0.12         -5.06        0.09
hard_X_ray       3.00          46.91             0.12         -5.87        0.14
hard_X_ray       3.00          47.25             0.12         -6.50        0.20
hard_X_ray       3.00          47.59             0.12         -7.27        0.42
hard_X_ray       3.00          47.94             0.12         -7.97        1.02
hard_X_ray       3.00          44.07             0.00         -3.89        0.64
hard_X_ray       3.00          44.72             0.25         -3.93        0.22
hard_X_ray       3.00          45.38             0.25         -4.59        0.20
hard_X_ray       3.00          46.05             0.25         -4.89        0.21
hard_X_ray       3.00          46.73             0.25         -5.48        0.17
hard_X_ray       3.00          47.76             0.37         -7.75        0.31
hard_X_ray       3.00          49.14             0.50         -10.08        0.64
hard_X_ray       3.00          50.52             0.50         -11.50        0.64
hard_X_ray       3.00          44.31             0.00         -4.07        0.37
hard_X_ray       3.00          44.80             0.19         -4.28        0.46
hard_X_ray       3.00          45.47             0.25         -4.38        0.53
hard_X_ray       3.00          46.14             0.25         -4.79        0.56
hard_X_ray       3.00          46.99             0.31         -5.93        0.58
hard_X_ray       3.00          48.02             0.38         -7.79        0.37
hard_X_ray       3.00          43.80             1.58         -3.94        0.42
hard_X_ray       3.00          44.31             0.20         -4.51        0.37
hard_X_ray       3.00          44.80             0.19         -4.35        0.48
hard_X_ray       3.00          45.47             0.25         -4.45        0.56
hard_X_ray       3.00          46.14             0.25         -4.92        0.59
hard_X_ray       3.00          46.99             0.31         -6.04        0.54
hard_X_ray       3.00          48.02             0.38         -8.01        0.39
hard_X_ray       3.00          46.06             0.00         -4.78        0.21
hard_X_ray       3.00          47.08             0.38         -6.08        0.26
hard_X_ray       3.00          46.08             0.00         -4.60        0.36
hard_X_ray       3.00          46.42             0.12         -5.12        0.25
hard_X_ray       3.00          46.76             0.12         -5.70        0.20
hard_X_ray       3.00          47.10             0.12         -6.28        0.19
hard_X_ray       3.00          47.44             0.12         -7.10        0.29
hard_X_ray       3.00          47.79             0.12         -7.55        0.36
hard_X_ray       3.00          44.24             0.00         -4.08        0.52
hard_X_ray       3.00          44.56             0.12         -4.23        0.25
hard_X_ray       3.00          44.89             0.12         -4.37        0.18
hard_X_ray       3.00          45.22             0.12         -4.38        0.11
hard_X_ray       3.00          45.55             0.12         -4.41        0.09
hard_X_ray       3.00          45.89             0.12         -4.61        0.07
hard_X_ray       3.00          46.23             0.12         -4.80        0.07
hard_X_ray       3.00          46.57             0.12         -5.16        0.09
hard_X_ray       3.00          46.91             0.12         -5.82        0.14
hard_X_ray       3.00          47.25             0.12         -6.59        0.27
hard_X_ray       3.00          47.59             0.12         -7.34        0.43
hard_X_ray       3.00          47.94             0.12         -7.87        0.65
hard_X_ray       3.00          45.92             0.00         -5.06        0.51
hard_X_ray       3.00          46.94             0.38         -5.76        0.31
hard_X_ray       3.00          48.04             0.40         -7.70        0.41
hard_X_ray       3.00          49.01             0.35         -9.67        0.81
hard_X_ray       3.00          44.16             0.00         -3.61        0.26
hard_X_ray       3.00          44.64             0.19         -4.05        0.17
hard_X_ray       3.00          45.14             0.19         -4.48        0.11
hard_X_ray       3.00          45.64             0.19         -4.63        0.10
hard_X_ray       3.00          46.14             0.19         -5.08        0.14
hard_X_ray       3.00          46.65             0.19         -5.37        0.13
hard_X_ray       3.00          47.17             0.19         -6.56        0.31
hard_X_ray       3.00          43.56             0.00         -4.19        0.81
hard_X_ray       3.00          44.20             0.25         -4.25        0.71
hard_X_ray       3.00          44.85             0.25         -4.50        0.81
hard_X_ray       3.00          45.52             0.25         -4.62        0.26
hard_X_ray       3.00          46.19             0.25         -4.81        0.21
hard_X_ray       3.00          46.87             0.25         -5.44        0.36
hard_X_ray       3.00          47.56             0.25         -6.42        0.46
hard_X_ray       3.00          44.55             0.00         -4.07        0.25
hard_X_ray       3.00          45.40             0.32         -4.24        0.10
hard_X_ray       3.00          46.26             0.32         -4.98        0.16
hard_X_ray       3.00          47.14             0.32         -6.58        0.30
hard_X_ray       3.00          48.01             0.32         -7.90        0.39
soft_X_ray       3.00          43.78             0.00         -3.26        0.17
soft_X_ray       3.00          44.59             0.31         -3.65        0.15
soft_X_ray       3.00          45.42             0.31         -4.05        0.10
