#ID 12+log(O/H)_PG16 12+log(O/H)_PG16_errdown 12+log(O/H)_PG16_errup md/mg md/mhi
IC2233 8.069000000000525 0.05100000000001792 0.052000000000017366 -3.5161334741050227 -3.3394643604190937
IC2461 -99.0 -99.0 -99.0 -2.7879195853318306 -2.4986738758200566
IC2531 -99.0 -99.0 -99.0 -2.5952275971214975 -2.2730755537680896
IC2574 -99.0 -99.0 -99.0 -3.407543260938673 -3.2576576602224705
IC2828 8.098000000000534 0.03000000000001002 0.029000000000008797 -3.0330314083701264 -2.818327167499162
IC3021 8.424000000000643 0.08800000000002939 0.08700000000002817 -3.6823676263408283 -3.373948398732832
IC3023 8.137000000000548 0.3360000000001131 0.3270000000001083 -3.6288551923777232 -3.460922861716694
IC3033 -99.0 -99.0 -99.0 -3.105862459238062 -2.923828252074919
IC3044 8.114000000000539 0.07000000000002338 0.0710000000000246 -3.356206620665242 -3.165317177576618
IC3059 -99.0 -99.0 -99.0 -2.632763452600463 -2.4313394684491785
IC3061 8.517000000000674 0.06600000000002382 0.06900000000002215 -2.652994291039309 -2.393800464268732
IC3077 8.280000000000594 0.06700000000002149 0.06400000000002137 -3.715625188161081 -2.9806415215539683
IC3096 8.280000000000594 0.06300000000002015 0.06300000000002015 -2.553676080937935 -2.100367646149642
IC3099 8.309000000000605 0.0650000000000226 0.06600000000002026 -2.9794846682386598 -2.7350461881406405
IC3102 -99.0 -99.0 -99.0 -2.5556639102402916 -1.5924557925238336
IC3104 -99.0 -99.0 -99.0 -3.7674434176177742 -3.3328303202441187
IC3105 7.904000000000469 0.05800000000001937 0.05800000000001937 -3.452694656184605 -3.2909683094150073
IC3115 -99.0 -99.0 -99.0 -2.2832866743979783 -2.0810233646723617
IC3229 8.216000000000573 0.07100000000002282 0.07100000000002282 -2.7593243427326954 -2.5106994362688937
IC3258 8.006000000000503 0.0590000000000197 0.05900000000002059 -2.7186258831574373 -2.484547773151136
IC3259 8.404000000000636 0.06100000000002126 0.06100000000002126 -2.283887969066484 -1.8699642195119919
IC3267 8.486000000000663 0.06600000000002204 0.06400000000002137 -2.419175639073875 -2.0077397430577153
IC3268 8.240000000000581 0.04900000000001725 0.04800000000001603 -2.9756116596224427 -2.7515144216080247
IC3311 8.251000000000584 0.06900000000002215 0.06800000000002271 -2.3225771154060153 -2.0071286647644344
IC3322 8.336000000000613 0.06600000000002204 0.0650000000000226 -2.4346767372498914 -2.1073888297292163
IC3355 7.883000000000462 0.09400000000003139 0.09600000000003206 -3.6042402977233206 -3.4149248733507798
IC3371 7.956000000000486 0.08200000000002738 0.08400000000002805 -3.629270604999501 -3.4397011019055928
IC3391 8.24327758 -99.0 -99.0 -2.502608416800946 -2.1400900104608054
IC3392 8.53400000000068 0.06700000000002326 0.06600000000002204 -2.45704299079635 -1.5598863873323392
IC3475 -99.0 -99.0 -99.0 -3.572610347770037 -3.0791002414893955
IC3476 8.35400000000062 0.009000000000002117 0.007000000000003226 -2.289379324858875 -2.0292539033530157
IC3517 8.20500000000057 0.06600000000002382 0.06700000000002149 -2.1849429506155564 -1.8684147152794963
IC3521 8.542000000000682 0.04500000000001414 0.041000000000012804 -2.696888532762807 -1.8063691469646832
IC3611 8.246000000000583 0.05900000000002059 0.062000000000020705 -2.146600196087652 -1.714874044006963
IC3631 -99.0 -99.0 -99.0 -3.2754410610420766 -2.4674607210543638
IC3718 -99.0 -99.0 -99.0 -3.005422894700847 -2.5281218325598234
IC4213 8.213000000000573 0.0560000000000187 0.05300000000001681 -2.779614445746329 -2.5708041242092485
IC5270 -99.0 -99.0 -99.0 -2.8249944189536484 -2.6182354565036605
IC5334 -99.0 -99.0 -99.0 -3.1760688396733707 -2.9006938582142534
NGC0007 -99.0 -99.0 -99.0 -3.2113724166388504 -3.0283318772012846
NGC0115 -99.0 -99.0 -99.0 -3.0840333397274717 -2.8935029944123634
NGC0131 -99.0 -99.0 -99.0 -2.9819636385560577 -2.7784946472292975
NGC0148 -99.0 -99.0 -99.0 -4.186094962596531 -3.72803890382202
NGC0150 -99.0 -99.0 -99.0 -3.0389140509323855 -2.7581429601055945
NGC0254 -99.0 -99.0 -99.0 -3.397088582377249 -2.62101741841215
NGC0289 8.597000000000701 0.010000000000005116 0.011000000000002785 -3.191645743823445 -2.9649377447132927
NGC0300 8.270000000000591 0.014000000000004675 0.006000000000002004 -2.786083609263791 -2.582149351765281
NGC0337 8.30401229 -99.0 -99.0 -2.9512287508878314 -2.7134573629753005
NGC0428 8.218000000000574 0.03000000000001002 0.029000000000008797 -3.0336210584402004 -2.843205117587193
NGC0450 8.26881079694944 0.02300000000000857 0.021000000000006125 -2.758044802431402 -2.5438715780102314
NGC0493 8.310000000000604 0.024000000000008015 0.024000000000008015 -2.6690316614727334 -2.453740717596851
NGC0520 -99.0 -99.0 -99.0 -2.906607341052932 -2.6282632456299426
NGC0584 -99.0 -99.0 -99.0 -3.219185557901691 -2.0873789349293506
NGC0586 -99.0 -99.0 -99.0 -2.356076381180305 -1.4968464442711813
NGC0613 8.56100000000069 0.022000000000009123 0.023000000000006793 -2.7297681197284622 -2.0320021415376823
NGC0625 8.034951708857655 0.015000000000005898 0.015000000000004121 -3.1142756863036176 -2.844307123238869
NGC0628 8.488000000000664 0.008000000000002672 0.004000000000001336 -2.9045232552274216 -2.7354581953325883
NGC0678 -99.0 -99.0 -99.0 -2.7971697391036674 -2.0728075229819507
NGC0855 -99.0 -99.0 -99.0 -3.1196720402150064 -2.7613786819912884
NGC0891 -99.0 -99.0 -99.0 -2.3694668732722133 -2.0528215221656745
NGC0895 8.434000000000646 0.03500000000001258 0.03000000000001002 -2.6705672537180916 -2.4527807829937416
NGC0925 8.303000000000601 0.012000000000004007 0.012000000000004007 -3.140516977183329 -2.959748887220472
NGC1052 -99.0 -99.0 -99.0 -2.20344564967753 -0.590815720460892
NGC1056 8.41779644026828 0.04000000000001336 0.04300000000001347 -3.041627056165154 -2.7231047836077193
NGC1068 8.634580570722866 0.016000000000005343 0.015000000000005898 -2.9546054656753844 -1.6346346354247026
NGC1097 8.527000000000676 0.05000000000001492 0.05300000000001859 -2.781650399977013 -2.337403686843335
NGC1140 8.26097196 -99.0 -99.0 -3.461473741021228 -3.322071522880305
NGC1189 -99.0 -99.0 -99.0 -2.61466916460925 -2.3940843293765677
NGC1222 -99.0 -99.0 -99.0 -2.9838252026324494 -2.711456035036269
NGC1320 -99.0 -99.0 -99.0 -2.612933666348197 -1.6002935328740455
NGC1351A -99.0 -99.0 -99.0 -2.4327079435963572 -2.074150569965523
NGC1365 8.548000000000684 0.011000000000002785 0.01300000000000523 -2.460741480468603 -1.9761066520337773
NGC1412 -99.0 -99.0 -99.0 -4.632050337065931 -3.889493456282514
