logM logSFR
7.874760689865611 -1.7457546372126456
8.063050480567448 -1.5249925561246809
8.145055174135932 -1.4686286971437146
8.140186598273797 -1.5571617187864581
8.163357756942446 -1.8628898274177499
8.140416789622352 -1.6758890454505289
8.092524527711145 -1.9851079636793763
7.931796576415222 -2.4315511046421348
7.842095810902511 -1.998236014921786
7.734144190494309 -1.9922553504932712
7.803846219311393 -2.478083499756078
7.653883858338331 -3.7934556128140255
7.427470175398427 -20.0
7.281877217427401 -20.0
7.293354746876963 -3.0645267555907485
7.573226619244762 -3.234931938641325
7.844108264179743 -1.5440142049740866
7.987982603738129 -1.9724973381211124
8.062814487595578 -2.324236841846984
8.134085876516886 -1.2502707053120448
8.09270842242509 -2.145142045184158
8.078839063150808 -1.8035452572769952
8.026180414376562 -1.6406957578608814
7.92828437613328 -2.2259594536203147
7.871110993132777 -1.9946446066311734
7.849415327652235 -1.8211447818317072
7.723551584026906 -3.545584267685908
7.324845571653343 -20.0
7.257711780386446 -20.0
7.410314290775766 -2.625017176705098
7.465858135502493 -3.3471261813083264
7.7781726656186905 -2.5634655188994873
7.895487051384671 -2.268043163282774
8.040303873407534 -2.104088773825901
8.029764961514788 -1.8442021867797007
8.000234866363902 -2.5030559362978724
8.038585785622491 -2.0800460093926616
7.967930362864097 -1.679063314541155
7.841014293136017 -1.8104971872470428
7.7621346509499825 -2.076505965816433
7.625528162099537 -1.685389556481078
7.612888946165403 -3.434812672037185
7.247090768476009 -20.0
7.227387852591314 -20.0
7.242609907107034 -3.2879488712787053
7.416170116183469 -20.0
7.657851137625022 -2.850754894551833
7.845469427803756 -1.8967667059134403
8.032515100479921 -1.3396897256409337
8.027221430521147 -1.9238642977837679
7.942395257544289 -2.0612895489752123
7.915597915996634 -2.2804051665500764
7.860629917387539 -2.8276390507444606
7.79112733221646 -2.4308121489451167
7.682723997197461 -3.3958675370349067
7.417241553922853 -3.2073938868151064
7.539545833706394 -20.0
7.303865939774302 -20.0
7.19898064607752 -20.0
7.3019890944142904 -3.553647027258763
7.608419830007216 -3.2823105465159657
7.739179849113016 -2.5804353995296263
7.9034610623351185 -2.37700395752149
7.928699125322253 -1.8978132567366002
7.877157860773015 -1.911697394512777
7.897621752359755 -1.8005930549305273
7.861758187538025 -2.5708364167694424
7.7470523577906905 -3.1811462847934493
7.55654358024901 -20.0
7.515985907056585 -20.0
7.5175207322910484 -20.0
7.187995623737619 -20.0
7.267557388868843 -20.0
7.511717496017645 -20.0
7.639607903392267 -3.2450273318277447
7.747609177513825 -3.2438976299546076
7.937771816496205 -2.6038644904721684
7.842795152331898 -2.087413612710419
7.846814166633531 -1.1474421515590665
7.766781047563012 -2.1604151515913648
7.659054789806054 -2.6470134483114043
7.652591109176111 -20.0
7.561751393719153 -20.0
7.596038696568306 -20.0
7.145773291648909 -20.0
7.241661971173554 -20.0
7.5782494433948075 -3.1974376580033756
7.519606381421654 -3.5089021618373266
7.634641447736741 -4.043703359920867
7.6660986941312 -3.722809739172605
7.607689636185953 -2.9759828384803773
7.585941449681997 -20.0
7.6306814503830935 -20.0
7.571254696602973 -20.0
7.458798977035861 -20.0
7.418934340132347 -20.0
7.404444458814357 -20.0
7.409422469517297 -20.0
7.458861937161138 -20.0
7.437435691713473 -20.0
7.51221565768749 -20.0
7.4780699386868665 -20.0
7.51033224502839 -20.0
7.351475946424423 -20.0
7.28220545357378 -20.0
7.3379674691895325 -20.0
7.31886269158062 -20.0
7.391551322227371 -20.0
7.324721859748658 -20.0
7.467039972498468 -20.0
7.312970300781144 -20.0
7.314542017474835 -20.0
7.034406947370009 -20.0
7.1948181418513 -20.0
7.150504646418659 -20.0
7.101211062023619 -20.0
7.106970661100442 -20.0
7.132543404590197 -20.0
7.0308801683625175 -20.0
6.891883480003212 -20.0
6.876249454419521 -20.0
6.879872952248408 -20.0
7.0341499391043385 -20.0
7.16846086151499 -20.0
7.213840183070187 -20.0
