logM logGas
8.026180414376562 7.641358918010724
7.92828437613328 -20.0
7.871110993132777 7.5369133349338915
7.849415327652235 7.711839943436597
7.723551584026906 6.802328955687162
7.324845571653343 -20.0
7.257711780386446 -20.0
7.410314290775766 -20.0
7.465858135502493 6.587183489534011
7.7781726656186905 7.147572612464568
7.895487051384671 7.388533718384719
8.040303873407534 7.552283953905077
8.029764961514788 7.787069527304235
8.000234866363902 7.5518009868644675
8.038585785622491 7.4415632511368806
7.967930362864097 7.896828559835699
7.841014293136017 7.443656485712716
7.7621346509499825 7.38361183433616
7.625528162099537 7.154964128708745
7.612888946165403 -20.0
7.247090768476009 -20.0
7.227387852591314 -20.0
7.242609907107034 -20.0
7.416170116183469 6.6542697458854905
7.657851137625022 6.708915832564994
7.845469427803756 7.381581725327533
8.032515100479921 7.704874050992859
8.027221430521147 7.798518355164074
7.942395257544289 7.754681355922859
7.915597915996634 7.4328917600499205
7.860629917387539 -20.0
7.79112733221646 6.792363998043601
7.682723997197461 7.070287628129504
7.417241553922853 -20.0
7.539545833706394 -20.0
7.303865939774302 -20.0
7.19898064607752 -20.0
7.3019890944142904 -20.0
7.608419830007216 -20.0
7.739179849113016 7.184683474947357
7.9034610623351185 7.295611829555765
7.928699125322253 7.546011229017774
7.877157860773015 7.588179757448538
7.897621752359755 7.402150756477911
7.861758187538025 -20.0
7.7470523577906905 6.498509488630295
7.55654358024901 -20.0
7.515985907056585 -20.0
7.5175207322910484 -20.0
7.187995623737619 -20.0
7.267557388868843 -20.0
7.511717496017645 -20.0
7.639607903392267 -20.0
7.747609177513825 -20.0
7.937771816496205 6.9882007337600625
7.842795152331898 7.392476326581368
7.846814166633531 8.027669282740801
7.766781047563012 7.110968121426034
7.659054789806054 7.04987713288649
7.652591109176111 6.621697481560914
7.561751393719153 -20.0
7.596038696568306 -20.0
7.145773291648909 -20.0
7.241661971173554 -20.0
7.5782494433948075 -20.0
7.519606381421654 -20.0
7.634641447736741 -20.0
7.6660986941312 -20.0
7.607689636185953 -20.0
7.585941449681997 -20.0
7.6306814503830935 -20.0
7.571254696602973 -20.0
7.458798977035861 -20.0
7.418934340132347 -20.0
7.404444458814357 -20.0
7.409422469517297 -20.0
7.458861937161138 -20.0
7.437435691713473 -20.0
7.51221565768749 -20.0
7.4780699386868665 -20.0
7.51033224502839 -20.0
7.351475946424423 -20.0
7.28220545357378 -20.0
7.3379674691895325 -20.0
7.31886269158062 -20.0
7.391551322227371 -20.0
7.324721859748658 -20.0
7.467039972498468 -20.0
7.312970300781144 -20.0
7.314542017474835 -20.0
7.034406947370009 -20.0
7.1948181418513 -20.0
7.150504646418659 -20.0
7.101211062023619 -20.0
7.106970661100442 -20.0
7.132543404590197 -20.0
7.0308801683625175 -20.0
6.891883480003212 -20.0
6.876249454419521 -20.0
6.879872952248408 -20.0
7.0341499391043385 -20.0
7.16846086151499 -20.0
7.213840183070187 -20.0
7.312455792742947 -20.0
7.243822054802909 -20.0
7.467923612306086 -20.0
7.267725352513115 -20.0
7.443024931747814 -20.0
7.403282896157205 -20.0
7.512705365931828 -20.0
7.367172413238905 -20.0
7.030795908800249 -20.0
7.303191352315964 -20.0
7.457004350443388 -20.0
7.040639698063357 -20.0
7.265746940878431 -20.0
7.384361906094316 -20.0
7.177277899358785 -20.0
7.325622167847454 -20.0
7.273864101434922 -20.0
7.141145290525712 -20.0
6.608549069609663 -20.0
7.147441852711836 -20.0
7.243452170678189 -20.0
7.3052593323470845 -20.0
6.845667165861448 -20.0
7.0657805105595735 -20.0
7.0780727918632715 -20.0
7.055904741182512 -20.0
6.986513210183123 -20.0
7.002861755729915 -20.0
7.220861463071717 -20.0
6.993691526283566 -20.0
7.018475786414782 -20.0
7.136137180552026 -20.0
7.240119346087598 -20.0
7.139331014166629 -20.0
7.2676133298933765 -20.0
7.441918820888196 -20.0
7.483858192404364 -20.0
7.46007555235477 -20.0
